Intent,Pattern
greeting,hello
greeting,hi
greeting,hey
greeting,good morning
greeting,good evening
greeting,howdy
greeting,greetings
greeting,salutations
greeting,how's it going
greeting,good day
greeting,yo
greeting,hi there
greeting,hey there
greeting,hello there
greeting,good afternoon
identity,what is my name
identity,who am I
identity,what is my identity
identity,can you tell me my name
identity,do you know who I am
identity,what do you call me
identity,what is my username
identity,what is my full name
identity,tell me my name
identity,who do you think I am
small_talk,how are you
small_talk,what's up
small_talk,how's it going
small_talk,how are things
small_talk,how have you been
small_talk,what's new
small_talk,what's happening
small_talk,how's everything
small_talk,how's life
small_talk,what are you up to
discoverability,what can you do
discoverability,help
discoverability,what are your capabilities
discoverability,what do you know
discoverability,how can you assist me
discoverability,what services do you offer
discoverability,what functions do you have
discoverability,what skills do you have
discoverability,what tasks can you perform
discoverability,how can you help me
question,what is
question,what are
question,how do
question,how
question,what does
question,why is
question,why are
question,where is
question,when is
question,who is
booking,book train
booking,Book a train
booking,Book ticket
booking,Train booking
booking,Reserve train
booking,Need train ticket
booking,Book train now
booking,Book train seat
booking,Book a ticket
booking,Book train today
booking,Book train tomorrow
booking,Book train to London
booking,Book train from London
booking,Book train from London to Paris
booking,Book train from London to Paris on 12/12/2024
booking,Book train from London to Paris on 12/12/2024 at 10:00
booking,Book train for two
booking,Book express train
booking,Book early train
booking,Book late train
booking,I need a train ticket
booking,Help me book a train
booking,Can I book a train?
booking,I would like to book a train
booking,Wanted to book a train ticket
booking,Train ticket booking
booking,Book a return train ticket
booking,Book a one-way train ticket
booking,Book train with sleeper
booking,Book train with meals
booking,Book train with window seat
booking,Book train from Leeds to York
booking,Book train from Edinburgh to Glasgow
booking,Book train on 25/12/2024
booking,Book train at 15:00
booking,Book train for next Friday
booking,Book train for next week
booking,Book train for holiday
booking,Book train for business trip
booking,Book me a train ticket
booking,I need to book a train
booking,Reserve a train from London to Manchester
booking,Book train from London to Edinburgh
booking,I want to reserve a train ticket
booking,Can I book a train to Glasgow?
booking,Train tickets from Birmingham to Leeds
booking,Book a train on 15/11/2024
booking,Reserve seats on the 10 AM train
booking,I need a train from Manchester to Liverpool
booking,Book train from Bristol to Bath on 20/12/2024
booking,Get me a train ticket for tomorrow
booking,Book a train departing at 14:00
booking,I want to book a first-class train ticket
booking,Reserve a train journey for next Monday
booking,Book train tickets for two people
booking,Find and book a train to Newcastle
booking,Book train from Oxford to Cambridge on 05/01/2025
booking,Can you book me a train ride?
booking,Schedule a train trip to York
ticket,When is my train booked for?
ticket,What are my bookings?
ticket,Show me my train tickets
ticket,Can you display my train reservations?
ticket,What time is my train scheduled?
ticket,Show my train booking details
ticket,When does my train leave?
ticket,What are my upcoming train tickets?
ticket,Show me my reserved train tickets
ticket,When is my next train?
ticket,What is my train departure time?
ticket,Display my train bookings
ticket,Where are my train tickets?
ticket,Show my booked train schedule
ticket,When is my train departure?
ticket,What time is my next departure?
ticket,Show my train reservation details
ticket,When is my train arrival?
ticket,What are my train itinerary?
ticket,Show my confirmed train tickets
